Question,Answer,Words in Question,Tokens in Question,Words in Answer,Tokens in Answer,Time to Generate,AVG COL-G
How many field goals did Kobe Bryant score?,Kobe Bryant scored 81 field goals in his career.,8,9,9,12,7.719367266,1.779065727
Which Lakers forward scored a Finals record 61 points?,Kobe Bryant scored a Finals record 61 points in Game 6 of the 2001 NBA Finals.,9,11,16,22,1.03659296,
Who owns the building?,"I'm sorry, I cannot answer that question without additional context. Can you please provide more information?",4,5,16,21,1.008258343,
When did the Dallas Mavericks lose their third to last game?,"The Dallas Mavericks lost their third to last game on April 13, 2018.",11,13,13,19,0.939179897,
Where was Eustachy from in 2000-01?,"I'm sorry, I cannot provide an accurate answer as Eustachy was not a professional basketball coach in 2000-01. Can you please provide more context or information?",6,13,26,37,1.724883556,
"Who was the team's president, front office manager, and head coach?","I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",11,16,17,22,1.049904823,
How many points did Jordan Brand score in the Jordan Brand Classic game on April 16?,Jordan Brand Classic is a basketball game that is played on April 16th every year. The exact number of points that Jordan Brand scored in the game is not known.,16,18,30,34,1.569690704,
What college did Marbury commit to?,Marbury did not commit to any college during his high school career.,6,8,12,14,0.700169325,
What was portrayed as a slave on TNT?,"I'm sorry, I cannot provide an answer as there is no context provided. Can you please provide more information?",8,10,19,24,1.141500235,
"How many games did Carmelo Anthony, Chauncey Billups, and Kenyon Martin miss?","Carmelo Anthony missed 11 games due to injury in 2014-15, while Chauncey Billups missed 13 games due to injury in 2015-16. Kenyon Martin missed 13 games due to injury in 2014-15.",12,20,31,54,2.491809845,
How many points did he average in his first season?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",10,11,17,22,1.055698395,
"Who is the youngest player in NBA history to reach 1,000, 2,000, 3,000, 4,000, 5,000, and 6,000 career rebounds?","The youngest player in NBA history to reach 1,000 career rebounds is LeBron James, who achieved this feat at the age of 23.",19,43,23,29,1.368018627,
What team waived Jones on October 25?,"I'm sorry, I cannot provide an answer to that question as it is not specific enough. Can you please provide more context or information?",7,9,24,29,1.36106658,
What was the team's first winning record?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",7,10,17,22,1.046472311,
How much did Wayne Duddleston and Billy Goldberg pay for the franchise?,"I'm sorry, I cannot provide an accurate answer as I do not have access to current financial records.",12,16,18,22,1.055096626,
