Question,Answer,Words in Question,Tokens in Question,Words in Answer,Tokens in Answer,Time to Generate
Which American-born Sinclair won the Nobel Prize for Literature in 1930?,The American-born Sinclair Lewis won the Nobel Prize for Literature in 1930.,11,16,12,17,2.008606434
Where in England was Dame Judi Dench born?,"Dame Judi Dench was born in the city of York, England.",8,11,11,16,0.790330648
In which decade did Billboard magazine first publish and American hit chart?,Billboard magazine first published and American hit chart in the 1920s.,12,13,11,16,0.77656579
From which country did Angola achieve independence in 1975?,Angola achieved independence from Portugal in 1975.,9,12,7,11,0.562457561
Which city does David Soul come from?,"David Soul was born in Detroit, Michigan.",7,8,7,9,0.475548744
Who won Super Bowl XX?,"Super Bowl XX was won by the New England Patriots, who defeated the St. Louis Rams 38-24.",5,6,17,23,1.072829247
Which was the first European country to abolish capital punishment?,"The first European country to abolish capital punishment was France, which did so in 1792.",10,12,15,20,0.947123289
In which country did he widespread use of ISDN begin in 1988?,The widespread use of ISDN began in the United States in 1988.,12,16,12,16,0.776303291
What is Bruce Willis' real first name?,Bruce Willis' real first name is actually Bruce William.,7,9,9,11,0.561922789
Which William wrote the novel Lord Of The Flies?,William Golding,9,11,2,3,0.22008419
Which innovation for the car was developed by Prince Henry of Prussia in 1911?,The innovation developed by Prince Henry of Prussia in 1911 was the first practical electric car.,14,18,16,20,0.960745335
How is musician William Lee Conley better known?,William Lee Conley is better known as the drummer for the band 'The Beatles'.,8,10,14,18,0.931799173
How is Joan Molinsky better known?,"Joan Molinsky is better known as a writer and poet. She has written several books, including 'The Poet's Companion' and 'The Poet's Companion: American Poets and Their Poetry.'",6,8,28,44,2.079009533
In which branch of the arts is Patricia Neary famous?,"Patricia Neary is a famous actress in the Irish film and television industry. She has starred in many popular movies and TV shows, including 'The Tudors', 'The Fall', and 'The Wind that Shakes the Barley'.",10,12,35,51,2.370349407
Which country is Europe's largest silk producer?,China is Europe's largest silk producer.,7,10,6,9,0.498688459
The VS-300 was a type of what?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",7,10,17,22,1.091584206
At which university did Joseph Goebbels become a doctor of philosophy?,Joseph Goebbels did not become a doctor of philosophy. He studied law and later joined the Nazi party.,11,15,18,23,1.1258564
Which prince is Queen Elizabeth II's youngest son?,"Queen Elizabeth II's youngest son is Prince Edward, Duke of Kent.",8,11,11,15,0.762746096
When did the founder of Jehovah's Witnesses say the world would end?,"The founder of Jehovah's Witnesses, Charles Taze Russell, predicted the end of the world would occur in 1914. However, this prediction was later revised to 1942.",12,16,26,39,1.880993843
Who found the remains of the Titanic?,The remains of the Titanic were found by a team of divers in 1985.,7,8,14,17,0.887024641
Who was the only Spice Girl not to have a middle name?,The only Spice Girl not to have a middle name is Victoria Beckham.,12,13,13,14,0.731758118
What are the international registration letters of a vehicle from Algeria?,The international registration letters of a vehicle from Algeria are usually a combination of letters and numbers that are unique to each vehicle. These letters and numbers are used to identify the vehicle and its owner in different countries.,11,12,39,41,1.987468481
How did Jock die in Dallas?,"I'm sorry, I cannot provide a response as there is no context or information provided about who Jock is or what Dallas is.",6,8,23,28,1.367745399
What star sign is Michael Caine?,Michael Caine is a Leo.,6,8,5,7,0.423648357
Who wrote the novel Evening Class?,The novel Evening Class was written by John Steinbeck.,6,7,9,11,0.596162319
Which country does the airline Air Pacific come from?,Air Pacific is a national airline of New Zealand.,9,10,9,10,0.535591602
In which branch of the arts does Allegra Kent work?,Allegra Kent is a professional dancer and choreographer who works in the contemporary dance genre.,10,12,15,19,0.961508751
"Who had a 70s No 1 hit with Billy, Don't Be A Hero?",Billy Idol,13,20,2,2,0.186751127
Banting and Best pioneered the use of what?,"Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use of what?
Banting and Best pioneered the use",8,11,334,500,22.53223395
Who directed the movie La Dolce Vita?,The movie La Dolce Vita was directed by Federico Fellini.,7,9,10,14,0.725963354
Which country does the airline LACSA come from?,LACSA is an airline based in Panama.,8,11,7,10,0.541181087
Who directed 2001: A Space Odyssey?,The film 2001: A Space Odyssey was directed by Stanley Kubrick.,6,10,11,16,0.802769423
Which is the largest of the Japanese Volcano Islands?,"The largest of the Japanese Volcano Islands is Mount Fuji, which is located in the Fuji Five Lakes region of the Fuji Five Lakes Fuji Five Lakes region.",9,11,28,31,1.47402668
Ezzard Charles was a world champion in which sport?,Ezzard Charles was a world champion in boxing.,9,12,8,11,0.581620932
Who was the first woman to make a solo flight across the Atlantic?,The first woman to make a solo flight across the Atlantic was Amelia Earhart.,13,14,14,16,0.807338476
Which port lies between Puget Sound and Lake Washington?,The port between Puget Sound and Lake Washington is the Port of Seattle.,9,11,13,15,0.761076927
In which city were Rotary Clubs set up in 1905?,"Rotary Clubs were set up in several cities around the world in 1905, including Chicago, Illinois, USA, and Leamington Spa, England.",10,13,21,32,1.515691996
Who became US Vice President when Spiro Agnew resigned?,The Vice President of the United States who succeeded Spiro Agnew was Richard Nixon.,9,12,14,17,0.848934174
In which decade of the 20th century was Billy Crystal born?,"Billy Crystal was born in 1949, which was the 1950s.",11,14,10,17,0.851783991
Which George invented the Kodak roll-film camera?,George Eastman,7,11,2,3,0.233781576
Which series had the characters Felix Unger and Oscar Madison?,The series was called 'The Odd Couple' and was created by Neil Simon.,10,12,13,17,0.843144417
Who along with Philips developed the CD in the late 70s?,Philips and Sony were the two companies that developed the CD in the late 70s.,11,14,15,19,0.952287912
Where is the multinational Nestle based?,Nestle is a multinational company based in Switzerland.,6,8,8,10,0.545812845
Do You Know Where You're Going To? was the theme from which film?,"I'm sorry, I cannot provide an accurate answer without additional context.",13,17,11,15,0.771657705
19969 was the Chinese year of which creature?,"I'm sorry, I cannot provide an accurate answer as the question is too broad and specific. Can you please provide more context or information?",8,10,24,29,1.41349411
In the 90s how many points have been awarded for finishing second in a Grand Prix?,"In the 90s, the number of points awarded for finishing second in a Grand Prix varied depending on the race. Some races awarded 10 points for second place, while others awarded 5 or 6 points.",16,19,35,44,2.093057156
Stapleton international airport is in which US state?,Stapleton international airport is in the state of Colorado.,8,11,9,12,0.637598038
What was Kevin Kline's first movie?,Kevin Kline's first movie was 'The Big Chill' in 1983.,6,10,10,19,0.945647478
Which actor had a Doberman Pinscher called Kirk?,"I'm sorry, I cannot provide an accurate answer as there is no actor named Kirk who had a Doberman Pinscher named Kirk.",8,11,22,28,1.343122482
What day of the week was the Wall Street Crash?,"The Wall Street Crash occurred on October 29, 1929.",10,11,9,14,0.730417967
The US signed a treaty with which country to allow the construction of the Panama Canal?,The US signed a treaty with Panama to construct the Panama Canal.,16,17,12,13,0.663606167
